window,from_date,to_date,category,feature,name,prev,latest,delta,pct,z,corr_import_mean,down_pressure
1,2026-06-24,2026-06-25,国内其它煤价,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--动力煤--防城港--价格(元/吨),动力煤_4800～5500大卡--动力煤--防城港,765.0,765.0,0.0,0.0,0.0,0.4960715657761438,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--印尼煤1#--广州港--价格(元/吨),动力煤_4800～5500大卡--印尼煤1#--广州港,710.0,710.0,0.0,0.0,0.0,0.620658891340488,-0.0
1,2026-06-24,2026-06-25,国内其它煤价,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--大混2#--广州港--价格(元/吨),动力煤_4800大卡以下--大混2#--广州港,690.0,690.0,0.0,0.0,0.0,0.6291287394486714,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤2#--广州港--价格(元/吨),动力煤_4800大卡以下--印尼煤2#--广州港,675.0,675.0,0.0,0.0,0.0,0.6259904580150414,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤3#--广州港--价格(元/吨),动力煤_4800大卡以下--印尼煤3#--广州港,580.0,580.0,0.0,0.0,0.0,0.6311273053468798,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港--价格(元/吨),到岸价格_印尼--气煤-天津港,1220.0,1220.0,0.0,0.0,0.0,-0.0022358003523208175,0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港--价格(元/吨),到岸价格_南非--动力煤-防城港,870.0,870.0,0.0,0.0,0.0,0.547978292170547,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#--本期价格(美元/吨),国际港口_卡里曼丹--动力煤1#,60.0,60.0,0.0,0.0,0.0,0.5123146035539238,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤2#--本期价格(美元/吨),国际港口_卡里曼丹--动力煤2#,48.2,48.2,0.0,0.0,0.0,0.5308417598654755,-0.0
1,2026-06-24,2026-06-25,国际/进口价格指数,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤1#--本期价格(美元/吨),国际港口_印度东海岸--动力煤1#,103.35,103.35,0.0,0.0,0.0,0.40267771851037365,-0.0
