period_id,漳平_厂级_上网电量,漳平_厂级_供热厂用电量,漳平_厂级_供热用厂用电率,漳平_厂级_供热耗煤量,漳平_厂级_供热量,漳平_厂级_供煤量,漳平_厂级_供电煤耗,漳平_厂级_利用小时,漳平_厂级_发电厂用电率,漳平_厂级_发电标煤量,漳平_厂级_发电用厂用电量,漳平_厂级_发电耗煤量,漳平_厂级_开机率,漳平_厂级_日电网调度发电量,漳平_厂级_综合供电煤耗,漳平_厂级_综合厂用电率,漳平_厂级_综合厂用电量,漳平_厂级_耗煤量,漳平_厂级_负荷率,漳平_漳平#5_上网电量,漳平_漳平#5_供热用厂用电率,漳平_漳平#5_供热量,漳平_漳平#5_利用小时,漳平_漳平#5_发电厂用电率,漳平_漳平#5_发电标煤量,漳平_漳平#5_发电用厂用电量,漳平_漳平#5_开机率,漳平_漳平#5_综合供电煤耗,漳平_漳平#5_综合厂用电率,漳平_漳平#5_综合厂用电量,漳平_漳平#5_负荷率,漳平_漳平#5_运行小时,漳平_漳平#6_上网电量,漳平_漳平#6_供热用厂用电率,漳平_漳平#6_供热量,漳平_漳平#6_利用小时,漳平_漳平#6_发电厂用电率,漳平_漳平#6_发电标煤量,漳平_漳平#6_发电用厂用电量,漳平_漳平#6_开机率,漳平_漳平#6_综合供电煤耗,漳平_漳平#6_综合厂用电率,漳平_漳平#6_综合厂用电量,漳平_漳平#6_负荷率,漳平_漳平#6_运行小时,发电量5,发电量6,总发电量
20250122,549.73,4.94,7.168937,472,6890.84,0,324.017075,9.867333,5.374637,1815.20846,31.82,3040,50,592.04,330.2,7.148166,42.32,3512,82.227778,0,0,0,0,0,0,0,0,0,0,0,0,0,549.73,7.17,6890.84,19.734667,5.374738,1815.20846,31.8206,100,330.2,7.146477,42.31,82.227778,24,0,592.04,592.04
20250123,538.11,4.43,7.134643,440,6209.14,0,312.0251,9.634333,5.373145,1706.777298,31.06,3084,50,578.06,317.18,6.911047,39.95,3524,80.286111,0,0,0,0,0,0,0,0,0,0,0,0,0,538.11,7.14,6209.14,19.268667,5.373923,1706.777298,31.0645,100,317.18,6.911047,39.95,80.286111,24,0,578.06,578.06
20250124,538.11,4.14,6.964936,409,5944.06,0,311.556854,9.239,5.287369,1635.76695,29.31,2895,50,578.06,303.983749,6.766605,37.51,3304,76.991667,0,0,0,0,0,0,0,0,0,0,0,0,0,516.83,6.96,5944.06,18.478,5.288,1635.76695,29.3135,100,316.5,6.766605,37.51,76.991667,24,0,554.34,554.34
20250125,517.73,3.63,6.639475,364,5467.3,0,319.86119,9.241667,5.064022,1683.813279,28.08,2820,50,554.5,325.23,6.631199,36.77,3184,77.013889,0,0,0,0,0,0,0,0,0,0,0,0,0,517.73,6.64,5467.3,18.483333,5.063246,1683.813279,28.0757,100,325.23,6.631199,36.77,77.013889,24,0,554.5,554.5
20250126,536.08,3.44,6.571959,331,5234.36,0,326.366757,9.560167,4.992939,1778.600916,28.64,2761,50,573.61,331.77901,6.542773,37.53,3092,79.668056,0,0,0,0,0,0,0,0,0,0,0,0,0,536.0784,6.56,5234.36,19.120333,4.993166,1778.600916,28.6413,100,331.78,6.543052,37.5316,79.668056,24,0,573.61,573.61
20250127,541.31,3.26,6.614253,313,4928.75,0,318.93384,9.643333,5.008642,1752.924173,28.98,2777,50,578.6,323.83,6.444867,37.29,3090,80.361111,0,0,0,0,0,0,0,0,0,0,0,0,0,541.31,6.62,4928.75,19.286667,5.00897,1752.924173,28.9819,100,323.83,6.444867,37.29,80.361111,24,0,578.6,578.6
20250128,551.28,0.85,6.632024,85,1281.66,0,322.867673,9.793833,5.202253,1798.56666,30.57,3047,50,587.63,326.252841,6.185865,36.35,3132,81.615278,0,0,0,0,0,0,0,0,0,0,0,0,0,551.2848,6.64,1281.66,19.587667,5.202713,1798.56666,30.5727,100,326.25,6.185048,36.3452,81.615278,24,0,587.63,587.63
20250129,485.36,0.85,6.632024,86,1281.66,0,323.546327,8.644,5.385238,1587.67418,27.93,2846,50,518.64,327.112696,6.416782,33.28,2932,72.033333,0,0,0,0,0,0,0,0,0,0,0,0,0,485.364,6.81,1246.17,17.288,5.384833,1587.67418,27.9279,100,327.11,6.416011,33.276,72.033333,24,0,518.64,518.64
20250130,482.88,1.33,6.819324,123,1950.34,0,304.775006,8.612833,5.458908,1489.008768,28.21,2621,50,516.77,308.36,6.558043,33.89,2744,71.773611,0,0,0,0,0,0,0,0,0,0,0,0,0,482.88,6.81,1950.34,17.225667,5.459663,1489.008768,28.2139,100,308.36,6.558043,33.89,71.773611,24,0,516.77,516.77
20250131,625.242,2.21,6.809806,216,3245.32,0,316.007652,11.4135,4.699114,2062.360737,32.18,3144,50,684.81,329.85,5.699391,39.03,3360,95.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,625.242,6.81,3245.32,22.827,4.699508,2062.360737,32.1827,100,329.85,8.698471,59.568,95.1125,24,0,684.81,684.81
20250201,534.47,2.77,6.893703,282,4018.16,0,330.727598,9.545833,5.37931,1792.345145,30.81,3138,50,572.75,335.35,6.68529,38.29,3420,79.548611,0,0,0,0,0,0,0,0,0,0,0,0,0,534.47,6.89,4018.16,19.091667,5.380079,1792.345145,30.8144,100,335.35,6.683544,38.28,79.548611,24,0,572.75,572.75
20250202,535.6,2.78,21.907186,298,1268.99,0,324.98353,9.570833,5.431432,1764.85556,31.19,3350,50,574.25,329.51,6.728777,38.64,3648,79.756944,0,0,0,0,0,0,0,0,0,0,0,0,0,535.6,7.01,1268.99,19.141667,5.431415,1764.85556,31.1899,100,329.51,6.730518,38.65,79.756944,24,0,574.25,574.25
20250203,527.05,2.64,6.662898,303,3962.24,0,319.899965,9.407167,5.247772,1710.857005,29.62,3405,50,564.43,324.61,6.62261,37.38,3708,78.393056,0,0,0,0,0,0,0,0,0,0,0,0,0,527.05,6.62,4098.17,18.814333,5.220878,1710.857005,29.4682,100,324.61,6.62261,37.38,78.393056,24,0,564.43,564.43
