period_id,邵武_厂级_上网电量,邵武_厂级_供电煤耗,邵武_厂级_利用小时,邵武_厂级_发电厂用电率,邵武_厂级_发电标煤量,邵武_厂级_发电用厂用电量,邵武_厂级_发电耗煤量,邵武_厂级_开机率,邵武_厂级_综合厂用电率,邵武_厂级_综合厂用电量,邵武_厂级_耗煤量,邵武_厂级_负荷率,邵武_邵武#3_上网电量,邵武_邵武#3_利用小时,邵武_邵武#3_发电厂用电率,邵武_邵武#3_发电标煤量,邵武_邵武#3_发电用厂用电量,邵武_邵武#3_开机率,邵武_邵武#3_综合厂用电率,邵武_邵武#3_综合厂用电量,邵武_邵武#3_负荷率,邵武_邵武#3_运行小时,邵武_邵武#4_上网电量,邵武_邵武#4_利用小时,邵武_邵武#4_发电厂用电率,邵武_邵武#4_发电标煤量,邵武_邵武#4_发电用厂用电量,邵武_邵武#4_开机率,邵武_邵武#4_综合厂用电率,邵武_邵武#4_综合厂用电量,邵武_邵武#4_负荷率,邵武_邵武#4_运行小时,发电量3,发电量4,总发电量
20240320,1943.502,282.580033,15.477273,4.624572,5506.128456,94.48,8134,100,4.869799,99.49,8134,64.488636,975.9862,15.530303,4.550244,2764.285714,46.64,100,4.781834,49.0138,64.709596,24,967.5157,15.424242,4.699411,2741.842742,47.84,100,4.959165,50.4843,64.267677,24,1025,1018,2043
20240321,2374.32,280.787843,18.856061,4.351949,6684.660012,108.32,9376,100,4.607473,114.68,9376,78.566919,1185.87,18.833333,4.34111,3338.935572,53.96,100,4.596138,57.13,78.472222,24,1188.45,18.878788,4.362761,3345.72444,54.36,100,4.61878,57.55,78.661616,24,1243,1246,2489
20240322,2439.95,280.579669,19.371212,4.33946,6863.09094,110.96,10003,100,4.57763,117.05,10003,80.713384,1219.45,19.348485,4.328896,3430.55674,55.28,100,4.506656,57.55,80.618687,24,1220.5,19.393939,4.35,3432.5342,55.68,100,4.648438,59.5,80.808081,24,1277,1280,2557
20240323,2482.194,280.559497,19.727273,4.436252,6981.666976,115.52,9939,100,4.677419,121.8,9939,82.19697,1240.656953,19.712121,4.439662,3489.719877,57.76,100,4.638205,60.343047,82.133838,24,1241.537047,19.742424,4.432847,3491.947098,57.76,100,4.717034,61.462953,82.260101,24,1301,1303,2604
20240324,2315.643,281.007719,18.439394,4.609696,6524.43722,112.2,9751,100,4.862777,118.36,9751,76.830808,1156.528828,18.424242,4.661184,3259.792155,56.68,100,4.890721,59.471172,76.767677,24,1159.114172,18.454545,4.558292,3264.645065,55.52,100,4.834633,58.885828,76.893939,24,1216,1218,2434
20240325,2269.11,281.099325,18.060606,4.602349,6392.985722,109.72,8695,100,4.819211,114.89,8695,75.252525,1137.55,18.121212,4.638796,3204.02333,55.48,100,4.887124,58.45,75.505051,24,1131.56,18,4.565657,3188.962392,54.24,100,4.750842,56.44,75,24,1196,1188,2384
20240326,2321.95,280.97142,18.462121,4.538367,6536.519117,110.6,9353,100,4.720968,115.05,9353,76.925505,1159.52,18.439394,4.591619,3265.092368,55.88,100,4.72309,57.48,76.830808,24,1162.43,18.484848,4.485246,3271.426749,54.72,100,4.718852,57.57,77.020202,24,1217,1220,2437
20240327,2413.78,280.388908,19.166667,4.319368,6787.430381,109.28,7406,100,4.593676,116.22,7406,79.861111,1204.99,19.136364,4.310372,3387.829385,54.44,100,4.593032,58.01,79.734848,24,1208.79,19.19697,4.328335,3399.600996,54.84,100,4.594317,58.21,79.987374,24,1263,1267,2530
20240328,2417.84,280.648974,19.181818,4.270142,6802.594352,108.12,8662,100,4.508689,114.16,8662,79.924242,1207.03,19.151515,4.275316,3395.496093,54.04,100,4.50712,56.97,79.79798,24,1210.81,19.212121,4.264984,3407.098259,54.08,100,4.510252,57.19,80.050505,24,1264,1268,2532
20240329,2398.836,280.937629,19.015152,4.210359,6754.639593,105.68,7802,100,4.428685,111.16,7802,79.229798,1199.858,19.015152,4.178486,3374.720611,52.44,100,4.393785,55.142,79.229798,24,1198.978,19.015152,4.242231,3379.918982,53.24,100,4.463904,56.022,79.229798,24,1255,1255,2510
